class,label
https://w3id.org/platoon/HeatingCoil,"""Heating Coil""@en"
https://w3id.org/platoon/HeatingValve,"""Heating Valve ""@en"
https://w3id.org/platoon/HotWaterSystem,"""Hot Water System ""@en"
https://w3id.org/platoon/HybridHeatPump,"""Hybrid Heat Pump""@en"
https://w3id.org/platoon/PressureDropEvaluation,"""Pressure Drop Evaluation""@en"
https://w3id.org/platoon/PressureDropProperty,"""Pressure Drop Property""@en"
https://w3id.org/platoon/ReturnFan,"""Return Fan""@en"
https://w3id.org/platoon/Steamer,"""Steamer""@en"
https://w3id.org/platoon/SupplyFan,"""Supply Fan""@en"
https://w3id.org/platoon/VariableRefrigerantVolume,"""Variable Refrigerant Volume""@en"
https://w3id.org/platoon/WaterSystem,"""Water System ""@en"
https://w3id.org/platoon/Alert,"""Alert""@en"
https://w3id.org/platoon/Anemometer,"""anemometer""@en"
https://w3id.org/platoon/Blade,"""Blade"""
https://w3id.org/platoon/Boiler,"""Boiler""@en"
https://w3id.org/platoon/BottomBox,"""Bottom Box""@en"
https://w3id.org/platoon/Brake,"""Brake""@en"
https://w3id.org/platoon/Burner,"""Burner""@en"
https://w3id.org/platoon/Chiller,"""Chiller""@en"
https://w3id.org/platoon/Compressor,"""Compressor""@en"
https://w3id.org/platoon/Condenser,"""Condenser""@en"
https://w3id.org/platoon/Controller,"""Controller""@en"
https://w3id.org/platoon/Evaporator,"""Evaporator""@en"
https://w3id.org/platoon/FailureEvent,"""Failure Event""@en"
https://w3id.org/platoon/Fan,"""Fan""@en"
https://w3id.org/platoon/GasFlowProperty,"""Gas Flow Property""@en"
https://w3id.org/platoon/Gearbox,"""Gearbox""@en"
https://w3id.org/platoon/Generator,"""Generator""@en"
https://w3id.org/platoon/HVAC,"""Heating Ventilation and Air Conditioning""@en"
https://w3id.org/platoon/HeatRateProperty,"""Heat Rate Property""@en"
https://w3id.org/platoon/HeatingSystem,"""Heating System ""@en"
https://w3id.org/platoon/Hub,"""Hub""@en"
https://w3id.org/platoon/Indicator,"""Indicator""@en"
https://w3id.org/platoon/Nacelle,"""Nacelle""@en"
https://w3id.org/platoon/NonResidentialBuilding,"""Non Residential Building""@en"
https://w3id.org/platoon/OccupancyStatusEvaluation,"""Occupancy Status Evaluation""@en"
https://w3id.org/platoon/PressureSensor,"""Pressure sensor""@en"
https://w3id.org/platoon/Pump,"""Pump""@en"
https://w3id.org/platoon/PyranoSensor,"""Pyrano sensor""@en"
https://w3id.org/platoon/ResidentialBuilding,"""Residential Building""@en"
https://w3id.org/platoon/Rotor,"""Rotor""@en"
https://w3id.org/platoon/ScheduledEvent,"""Scheduled Event""@en"
https://w3id.org/platoon/SolarRadiationProperty,"""Solar Radiation Property""@en"
https://w3id.org/platoon/TiltAngleProperty,"""Tilt Angle Property""@en"
https://w3id.org/platoon/Tower,"""Tower""@en"
https://w3id.org/platoon/Transformer,"""Transformer""@en"
https://w3id.org/platoon/VentilationSystem,"""Ventilation System ""@en"
https://w3id.org/platoon/WeatherVane,"""Weather Vane""@en"
https://w3id.org/platoon/WindFarm,"""Wind Farm""@en"
https://w3id.org/platoon/WindTurbine,"""Wind Turbine""@en"
https://w3id.org/platoon/Acidity,"""Acidity ""@en"
https://w3id.org/platoon/AntioxidantAdditives,"""Antioxidant additives ""@en"
https://w3id.org/platoon/Casing,"""Casing""@en"
https://w3id.org/platoon/DeosAgingMarkersMethanolAndEthanol,"""Deos Aging Markers Methanol And Ethanol""@en"
https://w3id.org/platoon/DielectricBreakdown,"""Dielectric breakdown ""@en"
https://w3id.org/platoon/DissipationAndResistivityFactor,""" Dissipation and resistivity factor (DDF)""@en"
https://w3id.org/platoon/DissolvedGasAnalysis,"""Dissolved gas analysis ""@en"
https://w3id.org/platoon/ElelectricalSubstation,"""Elelectrical Substation""@en"
https://w3id.org/platoon/FuranAnalysis,"""Furan analysis ""@en"
https://w3id.org/platoon/Insulation,""" Insulation""@en"
https://w3id.org/platoon/InterfacialTension,"""Interfacial tension (IFT) ""@en"
https://w3id.org/platoon/PrimaryWinding,""" Primary Winding""@en"
https://w3id.org/platoon/SecondaryWinding,""" Secondary Winding""@en"
https://w3id.org/platoon/ElectricityContract,"""Electricity Contract ""@en"
https://w3id.org/platoon/GasContract,"""Gas Contract ""@en"
https://w3id.org/platoon/GasEnergyProperty,"""Gas  energy Property""@en"
https://w3id.org/platoon/CoolingElectricEnergyConsumptionEvaluation,"""Cooling Electric Energy Consumption Evaluation""@en"
https://w3id.org/platoon/CoolingElectricEnergyConsumptionProperty,"""Cooling Energy Consumption Property""@en"
https://w3id.org/platoon/CoolingElectricEnergyLoadEvaluation,"""Cooling Energy Load Evaluation""@en"
https://w3id.org/platoon/CoolingElectricEnergyLoadProperty,"""Cooling Electric Energy Load Property""@en"
https://w3id.org/platoon/CoolingGasEnergyConsumptionEvaluation,"""Cooling Gas Energy Consumption Evaluation""@en"
https://w3id.org/platoon/CoolingGasEnergyConsumptionProperty,"""Cooling Gas Energy Consumption Property""@en"
https://w3id.org/platoon/DomesticHotWaterElectricEnergyConsumptionEvaluation,"""Heating Electric Energy Consumption Evaluation""@en"
https://w3id.org/platoon/DomesticHotWaterElectricEnergyConsumptionProperty,"""Domestic Hot Water Electric Energy Consumption Property""@en"
https://w3id.org/platoon/DomesticHotWaterGasEnergyConsumptionEvaluation,"""Heating Gas Energy Consumption Evaluation""@en"
https://w3id.org/platoon/DomesticHotWaterGasEnergyConsumptionProperty,"""Domestic Hot Water Gas Energy Consumption Property""@en"
https://w3id.org/platoon/ElectricEnergyConsumptionEvaluation,"""Electric Energy Consumption Evaluation""@en"
https://w3id.org/platoon/ElectricEnergyConsumptionProperty,"""Electric Energy Consumption Property""@en"
https://w3id.org/platoon/ElectricEnergyLoadEvaluation,"""Electric Energy Load Evaluation""@en"
https://w3id.org/platoon/ElectricEnergyLoadProperty,"""Electric Energy Load Property""@en"
https://w3id.org/platoon/ElectricEnergyProductionEvaluation,"""Electric Energy Production Evaluation""@en"
https://w3id.org/platoon/ElectricEnergyProductionProperty,"""Electric Energy Production Property""@en"
https://w3id.org/platoon/ElectricPowerGenerationCapacityProperty,"""Electric Power Generation Capacity Property""@en"
https://w3id.org/platoon/ElectricalLossEvaluation,"""Electrical Loss Evaluation""@en"
https://w3id.org/platoon/ElectricalLossProperty,"""Electrical Loss Property""@en"
https://w3id.org/platoon/EnergyConsumptionEvaluation,"""Energy  Consumption Evaluation""@en"
https://w3id.org/platoon/EnergyConsumptionProperty,"""Energy  Consumption Property""@en"
