"dataSource","Class"
"LLUC3a-01","https://w3id.org/bot#Building"
"LLUC3a-01","https://w3id.org/bot#Zone"
"LLUC3a-01","https://saref.etsi.org/core/Occupancy"
"LLUC3a-01","https://w3id.org/platoon/OccupiedNumberEvaluation"
"LLUC3a-02","https://w3id.org/bot#Building"
"LLUC3a-02","https://w3id.org/platoon/ForecastOfAirTemperatureProperty"
"LLUC3a-02","https://w3id.org/platoon/AirTemperatureEvaluation"
"LLUC3a-02","https://w3id.org/platoon/ForecastOfCloudOpacityProperty"
"LLUC3a-02","https://w3id.org/platoon/CloudOpacityEvaluation"
"LLUC3a-02","https://w3id.org/bot#Zone"
"LLUC3a-02","https://saref.etsi.org/core/Occupancy"
"LLUC3a-02","https://w3id.org/platoon/OccupiedNumberEvaluation"
"LLUC3a-02","http://www.w3.org/ns/prov#Activity"
"LLUC3a-02","https://w3id.org/pep/ProcedureExecution"
"LLUC3a-02","https://saref.etsi.org/core/TemperatureSensor"
"LLUC3a-02","https://w3id.org/platoon/HeatingValve"
"LLUC3a-02","https://w3id.org/platoon/CoolingValve"
"LLUC3a-02","https://w3id.org/bot#Building"
"LLUC3a-02","https://w3id.org/bot#Floor"
"LLUC3a-02","https://w3id.org/seas/Zone"
"LLUC3a-02","https://w3id.org/seas/ElectricityMeter"
"LLUC3a-02","https://w3id.org/seas/GasMeter"
"LLUC3a-02","https://w3id.org/platoon/HeatingGasEnergyConsumptionEvaluation"
"LLUC3a-02","https://w3id.org/platoon/ElectricityEnergyConsumptionEvaluation"
