"dataSource","Class"
"Power-grid-ZIV-Pilot2b","https://w3id.org/seas/ElectricPowerTransformer"
"Power-grid-ZIV-Pilot2b","https://w3id.org/seas/ElectricityMeter"
"TTEMP-Pilot2b","https://w3id.org/seas/ElectricPowerTransformer"
"TTEMP-Pilot2b","https://w3id.org/seas/TemperatureProperty"
"TTEMP-Pilot2b","https://w3id.org/platoon/PressureProperty"
"TTEMP-Pilot2b","https://w3id.org/seas/HumidityProperty"
"MVNA-Pilot2b","https://w3id.org/seas/ElectricPowerTransformer"
"MVNA-Pilot2b","http://ontology.tno.nl/cerise/cim-profile#ActivePower"
"MVNA-Pilot2b","http://ontology.tno.nl/cerise/cim-profile#ReactivePower"
"MVNA-Pilot2b","https://w3id.org/seas/VoltageProperty"
"MVNA-Pilot2b","https://w3id.org/seas/CurrentProperty"
