"dataSource","Class"
"PUPIN-RES-PV","http://www.w3.org/2006/time#Interval"
"PUPIN-RES-PV","http://www.w3.org/2006/time#TemporalEntity"
"PUPIN-RES-PV","http://www.w3.org/2006/time#Instant"
"PUPIN-RES-PROD","http://www.w3.org/2006/time#Instant"
"PUPIN-RES-PROD","http://www.w3.org/2006/time#TemporalEntity"
"PUPIN-RES-PROD","https://w3id.org/seas/FeatureOfInterest"
"PUPIN-RES-PROD","https://w3id.org/platoon/WindFarm"
"PUPIN-RES-PROD","https://w3id.org/seas/ElectricPowerSystem"
"PUPIN-RES-PROD","https://w3id.org/seas/ElectricPowerProducer"
"PUPIN-RES-PROD","http://www.semanticweb.org/ontologies/2011/9/Ontology1318785573683.owl#WindTurbine"
"PUPIN-RES-PROD","http://www.iec.ch/TC57/CIM#WindGeneratingUnit"
"PUPIN-RES-PROD","http://www.iec.ch/TC57/CIM#WindPlantIEC"
"PUPIN-RES-PROD","https://w3id.org/platoon/OffshoreWindTurbine"
"PUPIN-RES-PROD","http://www.iec.ch/TC57/CIM#GeneratingUnit"
"PUPIN-RES-PROD","http://www.iec.ch/TC57/CIM#Plant"
"PUPIN-RES-PV","https://w3id.org/seas/FeatureOfInterest"
"PUPIN-RES-PV","https://w3id.org/seas/Zone"
"PUPIN-RES-PV","https://w3id.org/seas/SolarArray"
"PUPIN-RES-PV","https://w3id.org/platoon/AirTemperatureProperty"
"PUPIN-RES-PROD","https://w3id.org/platoon/AirTemperatureProperty"
"PUPIN-RES-PV","https://w3id.org/platoon/AirTemperatureEvaluation"
"PUPIN-RES-PROD","https://w3id.org/platoon/AirTemperatureEvaluation"
"PUPIN-RES-PV","https://w3id.org/seas/WindDirectionProperty"
"PUPIN-RES-PROD","https://w3id.org/seas/WindDirectionProperty"
"PUPIN-RES-PV","http://www.semanticweb.org/ontologies/2011/9/Ontology1318785573683.owl#WindDirection"
"PUPIN-RES-PROD","http://www.semanticweb.org/ontologies/2011/9/Ontology1318785573683.owl#WindDirection"
"PUPIN-RES-PV","https://w3id.org/seas/WindDirectionEvaluation"
"PUPIN-RES-PROD","https://w3id.org/seas/WindDirectionEvaluation"
"PUPIN-RES-PV","https://w3id.org/platoon/SolarInverter"
"PUPIN-RES-PV","https://w3id.org/platoon/WeatherStation"
"PUPIN-WeatherBit","https://w3id.org/platoon/WeatherStation"
"PUPIN-RES-PROD","https://w3id.org/platoon/WeatherStation"
"PUPIN-RES-PROD","https://w3id.org/platoon/ForecastOfElectricProductionProperty"
"PUPIN-RES-PROD","https://w3id.org/platoon/ForecastOfActivePower"
"PUPIN-RES-PROD","https://w3id.org/seas/ElectricPowerProperty"
"PUPIN-RES-PROD","https://saref.etsi.org/core/Power"
"PUPIN-RES-PROD","http://www.iec.ch/TC57/CIM#ActivePower"
"PUPIN-RES-PROD","https://w3id.org/platoon/ForecastOfActivePowerEvaluation"
"PUPIN-RES-PROD","https://w3id.org/platoon/ForecastOfElectricPowerEvaluation"
"PUPIN-RES-PROD","https://w3id.org/seas/ElectricPowerEvaluation"
"PUPIN-RES-PROD","https://w3id.org/platoon/ActivePowerEvaluation"
"PUPIN-RES-PROD","http://www.w3.org/2006/time#Interval"
"PUPIN-ENTSO-E","http://www.iec.ch/TC57/CIM#Asset"
